name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
Rainbow,rainbow,hybrid,"Rainbow is a combination of Dancehall with Blueberry created by Spain-based Lifetime Seeds. The strain is so-named for its brilliant combination of orange hairs; purple, green, and blue coloring; and yellow-green leaves. Rainbow emits a strong citrus smell layered with an incense-like spice, while the smoke tastes like a plate of spiced fruit.","Rainbow flowers in 55-60 days inside and late-September outdoors, growing to medium heights. The plants branch laterally, making it a good candidate for SOG (Sea of Green) method. At full maturity, Rainbow produces compact nugs that practically drip with resin.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}]","[{'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': 'da4209de-4021-4568-b7bc-f8601dac412c', 'type': 'tag', 'name': 'Mint'}]"
Rainbow Kush,rainbow-kush,hybrid,"The breeders at Amsterdam Marijuana Seeds (AMS) concocted the beautiful Rainbow Kush by crossing Master Kush, Hindu Kush, and Montel’s Pride. Rainbow Kush reportedly has a strong memorable aroma of fresh coffee in the woods and a spicy, piney taste. According to the breeder, this indica-leaning strain usually contains between 16% to 20% THC.

","True to its name, the strain’s glistening buds range in color from pale to bright to fluorescent green with purplish leaves, yellow highlights, and orange stigma hairs. Rainbow Kush plants grow medium in height and are relatively easy to grow indoors or outdoors. The breeder claims that this strain flowers in about eight to nine weeks and produces high yields of up to 425 grams of flower per square meter. Exposure to cooler temperatures later in the growing cycle should enhance the darker purplish coloring.",Amsterdam Marijuana Seeds (AMS),,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/910/avatar/original/1569443894-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/910/hero/original/1569443894-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]",[]
Rainbow Sherbet,rainbow-sherbet,hybrid,"Rainbow Sherbet (also spelled Sherbert) is a combination of Champagne and Blackberry bred by the team at Apothecary Genetics. The cultivar is named for its notes of berries and herbs as well as the buzzy, bubbly mood it reportedly provides on consumption. Online sources describe the strain as relatively potent with THC levels of 20-22%.","Rainbow Sherbet typically flowers in 43-63 days, and it is considered relatively easy to grow both indoors and outside. At full maturity, Rainbow Sherbet produces average yields of lemon-shaped green nugs decorated with orange hairs and amber trichomes.",,,,10.0,11.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,['Rainbow Sherbert'],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': 'da4209de-4021-4568-b7bc-f8601dac412c', 'type': 'tag', 'name': 'Mint'}]"
Rare Dankness,rare-dankness,hybrid,"Rare Dankness bears the name of the Colorado seed bank it calls home. 

RD Genetics founder Scott “Moonshine” Reach said the original Rare Dankness strain was a cross between a Ghost OG female and an inbred Chemdawg male from Colorado brothers Alex and Andrew at Reservoir Seeds. 

The Rare Dankness #1 male -- arguably the most prolific iteration of the strain -- was the culmination of four generations of crosses. It began with a hybrid between the original Rare Dankness and a Ghost OG, which was then crossed with a Triangle Kush, then crossed once more with a Triangle Kush. 

From there, Rare Dankness #2, another male, was created using a hybrid of Ghost OG and Rugburn OG. 

Although these varieties were never available to the public, Rare Dankness #1 is a parent to several Rare Dankness hybrids, including Scott’s OG, Rare Darkness and 501st OG. 

Reach said the Rare Dankness #1 male -- which is kept on-hand for current and future breeding -- delivers exceptional potency, enhanced structure and increased yields to strains with which it is hybridized.
",,Scott Reach     Rare Dankness Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/201/avatar/original/1562622274-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/201/hero/original/1562622274-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}, {'id': '59421d5b-91e7-45ac-843a-551975f0ac6f', 'type': 'tag', 'name': 'Uplifted'}]","[{'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': '5b49a6d9-5389-4c59-ad6e-2ec0d22ead00', 'type': 'tag', 'name': 'Grape'}]"
Raskal’s OG,raskal-s-og,indica,"Raskal’s OG is a cross of Fire Kush and a phenotype ofSan Fernando Valley (SFV) OG Kush created by The Cali Connection. Raskal’s OG has a strong flavor of lemon cleaning products and high THC potency, according to OG Life, where clones are available for sale. Other sources online confirm average levels of 18% THC.

","Raskal’s OG finishes its growing cycle in a quick six weeks, developing tight, dense buds and squat bushes. The plants don’t branch very much, making this strain perfect for indoor gardens and beginner cultivators. Raskal OG’s colas sport a variety of green colors covered in a blanket of white trichomes. The cultivar’s yields are on the upper side of average.",The Cali Connection,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Raspberry Cough,raspberry-cough,hybrid,"Nirvana Seeds created Raspberry Cough by combining ICE with a Cambodian landrace sativa strain. The resulting cultivar features a berry, earthy aroma with matching flavors layered over a nutty spice. Per the breeder, Raspberry Cough produces clear headed, calming effects and averages a THC potency between 15-24%.","Raspberry Cough makes for an ideal starter strain for cultivators thanks to its sturdy, tall structure and plentiful yields. The strain flowers in 9-11 weeks indoors or late October outside, reaching impressive heights of up to 10 feet that may require SOG (Sea of Green) maintenance to control indoor plants. Growers beware: this strain is known for its pungency, so odor control measures may be necessary.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]",[]
Raspberry Kush,raspberry-kush,hybrid,"Raspberry Kush is believed to descend from Afghan or Pakistani Kush and possibly a Cheese strain, but the exact lineage and original breeder remains a mystery. Following suit with its name, Raspberry Kush reportedly has a sweet berry flavor and aroma.

","Information online about growing this cultivar says Raspberry Kush reaches medium height either indoors or outdoors, though it needs a sunny, protected corner outside. After flowering for nine to 10 weeks, it produces slightly above-average yields of dark green, dense buds with bits of purple and orange all covered with glistening trichomes. One sample of Raspberry Kush flower, analyzed by the cannabis testing lab Analytical 360, contained THC levels that exceeded 19%.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/958/avatar/original/1570143229-180222F_46814_Raspberry_Kush_1.jpg,https://images.weedmaps.com/strains/000/000/958/hero/original/1570143229-180222F_46814_Raspberry_Kush_1.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Red Congolese,red-congolese,hybrid,"This 100% pure sativa strain won 3rd place in 2013 for overall best at the High Times’ Cannabis Cup. Red Congolese offers moderate THC levels (averaging 18% to 20%) and can deliver tingling, elated sensations. 

Though the name evokes African origins, Red Congolese originated in California from a blend of Mexican and Afghan roots. Perhaps these global origins lend Red Congolese its decidedly earthy flavor profile. Red Congolese is sometimes mistaken for Congolese Red by SnowHigh Seeds, but the two strains are distinct.","Red Congolese is a tall strain, stretching up to 6 feet at full height. It is one of the easier strains to grow, thriving both inside and outside. Flowering is a bit slower than with other strains, not occurring until 10 to 11 weeks, rather than the more common 8 or 9 weeks.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': '14fddaf3-5d91-46b1-9d84-f48f7e6496c4', 'type': 'tag', 'name': 'Grapefruit'}, {'id': 'b9e78796-d17d-4c13-b834-7159b081244c', 'type': 'tag', 'name': 'Spicy/Herbal'}]"
Red Diesel,red-diesel,hybrid,"Red Diesel is a creation of the Amsterdam-based seed bank Barney’s Farm, which crossed NYC Diesel with California Orange to form this cerebrally stimulating sativa-leaning bud. 

Pulling from its ancestors, Red Diesel carries an aroma of sweet orange and diesel fuel, translating into a flavor that the breeder described as earthy, citrusy, and all-around dank. One sample of Red Diesel analyzed by the cannabis testing lab MCR Labs had THC levels of 19.49%, along with a notable presence of myrcene, limonene, and other terpenes. 

","According to Barney’s Farm, the strain grows to a medium height and produces high yields of large, resin-coated buds with prominent red stigmas within a 60-to-65-day flowering period. The breeder also notes that the productive side branches may require extra support during the last week of flowering. 

Red Diesel is suitable for either indoor or outdoor growing conditions. Cultivators can expect up to 600 grams per square meter when growing inside, and even more bountiful yield for outdoor plants harvested in mid-October in the Northern Hemisphere.",Barney's Farm,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/674/avatar/original/1565374251-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/674/hero/original/1565374251-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}, {'id': '23dc43c8-238e-4a5c-96cf-420a634fd575', 'type': 'tag', 'name': 'Coffee'}, {'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}]"
Red Dragon,red-dragon,hybrid,"Breeders at Barney’s Farm crossed Brazilian and Pakistani Kush genetics to get Red Dragon, a strain known for its spicy, tropical guava flavors.

","According to Barney’s Farm, Red Dragon is a hybrid that leans slightly toward sativa, producing medium-sized plants that grow between 80 to 90 centimeters, or 2.6 to 3 feet, and are suited for either indoor or outdoor growing conditions. Following an eight-week flowering cycle, Red Dragon produces high yields of red and green colas that glitter with trichomes. When grown outdoors in the Northern Hemisphere, cultivators should expect to harvest this strain in late September.",Barney's Farm,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/959/avatar/original/1570143302-180222F_46812_Red_Dragon_1.jpg,https://images.weedmaps.com/strains/000/000/959/hero/original/1570143302-180222F_46812_Red_Dragon_1.jpg,[],"[{'id': '8769e57c-6dac-42a8-9a67-36cca36cc0dc', 'type': 'tag', 'name': 'Giggly'}, {'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}]","[{'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}]"
Red Headed Stranger,red-headed-stranger,hybrid,"Red Headed Stranger is a cross of Willy’s Wonder and Haze, and takes its name from the Willie Nelson album that came to be his nickname, according to Kind Love clone shop. Pacific Seeds says the citrus- and pine-flavored buds can contain as much as 23% THC.

According to Pacific Seed Bank, Red Headed Stranger is sativa-leaning and difficult to grow, making it best for those with experience who can trim and tend it right. Low-Stress Training (LST) and an indoor growing environment should result in dense bud production after 10 to 11 weeks. It tends to act quickly and produce uplifting, energizing effects, according to Pacific Seeds. Red Headed Stranger won Best Sativa in the Colorado High Times Cannabis Cup in 2012.",,Pacific Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/805/avatar/original/1567201400-180219_50560_RedHeadedStranger_1.jpg,https://images.weedmaps.com/strains/000/000/805/hero/original/1567201400-180219_50560_RedHeadedStranger_1.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]","[{'id': 'cb4aa1bb-d8a1-413e-b083-08addbd0a631', 'type': 'tag', 'name': 'Pine'}, {'id': 'da4209de-4021-4568-b7bc-f8601dac412c', 'type': 'tag', 'name': 'Mint'}]"
Reina Madre (aka Queen Mother),reina-madre-aka-queen-mother,hybrid,"Reina Madre, which is Spanish for “Queen Mother,” was originally bred by Spain’s Delicatessen Seed Bank, which crossed La Reunion with an unknown sativa and Congo #1 to create this sativa-leaning strain. Known to produce copious amounts of resin, Queen Mother is said to carry an aroma and flavor often compared to bitter herbs and spices.

Queen Mother has been combined with NYC Diesel to breed Cannatonic, the renowned high-CBD strain created by the Spain-based breeder Resin Seeds.","Suitable for indoor and outdoor growing conditions, Queen Mother plants yield medium-to-high amounts trichome-encrusted buds in a 55-to-65 flowering cycle, or at the end of September is grown outdoors in the Northern Hemisphere.
",Delicatessen Seed Bank,,,0.0,30.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/847/avatar/original/1567642995-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/847/hero/original/1567642995-Strain_Flower-Hybrid_v5__1_.jpg,"['Queen Mother', 'Queen Mother Goji']",[],[]
Remedy,remedy,hybrid,"Remedy is a high-CBD strain reportedly created by CBD Crew, a collaboration between Mr. Nice and Resin Seeds, the creator of the famed Cannatonic strain. The breeders developed Remedy by crossing a Cannatonic female with an Afghan and Skunk male from Mr. Nice. The strain, originally called Z7, has a 28:1 CBD-to-THC ratio, according to online sources testing at 14% CBD and 0.5% THC. It has a woody, sweet flavor profile.

","This high-CBD strain needs an experienced hand to do well, flowers in eight to 10 weeks, and delivers average yields. True to its name and breeding, Remedy has virtually no intoxicating effects, instead providing relaxation and pain relief without the stoned buzz.",CBD Crew,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/960/avatar/original/1570143431-180322_50310_Remedy_1.jpg,https://images.weedmaps.com/strains/000/000/960/hero/original/1570143431-180322_50310_Remedy_1.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '4111e944-1514-4698-a9fa-924e55289ac3', 'type': 'tag', 'name': 'Honey'}, {'id': 'da4209de-4021-4568-b7bc-f8601dac412c', 'type': 'tag', 'name': 'Mint'}]"
Ringo's Gift,ringo-s-gift,hybrid,"Ringo’s Gift by Southern Humboldt Seed Collective is a high-cannabidiol (CBD) strain, which was named in honor of its original breeder, the CBD enthusiast Laurence Ringo. A cross of Harle-Tsu and ACDC, the strain can be found with various dominant phenotypes that typically express an elevated CBD-to-THC ratio. 
 
Bred specifically for its therapeutic levels of CBD, Ringo’s Gift has an average CBD content of roughly 10% and typically has less than 7% THC. The strain was tested by Phylos Bioscience in 2016. Valued for its powerful anti-inflammatory effects by the medical marijuana community, Ringo’s Gift has elevated levels of Linalool and is said to instill a sense of creative energy. 

Ringo’s Gift won first place for Best CBD Concentrates at the 2015 Socal High Times Cannabis Cup. ","Ringo’s Gift produces a dense canopy of thin sun leaves during vegetation and stretches modestly during the flowering cycle. For indoor cultivators, Ringo’s Gift is a versatile hybrid that hits full maturation within 56-70 days of entering the flower cycle. Cultivated outside, the strain is finished maturing by mid-October in the Northern Hemisphere, or mid-April in the Southern Hemisphere, and produces large flowers with a slightly loose bud structure.
","Southern Humboldt Seed Collective, Phylos Bioscience",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/277/avatar/original/1548914055-171017F_44175_RingosGift_1.jpg,https://images.weedmaps.com/strains/000/000/277/hero/original/1586220344-Ringos_Gift-Dl.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]",[]
Road Dawg,road-dawg,hybrid,"Karma Genetics joined forces with JJ.NYC of Top Dawg Seeds to create Road Dawg, a combination of Stardawg and Biker Kush. This high roller boasts a THC content of nearly 26%, reportedly lulling consumers into euphoric states of sleepy sedation. Road Dawg delights the palate with minty, diesel flavors that are accompanied by a sour chemical smell.","Road Dawg thrives both indoors and outdoors but requires a slightly longer flowering period than other indica strains — around 9-11 weeks when grown inside. The plants' branches tend to get heavy, so some structural support may be needed. Road Dawg produces beautiful, mint-green flowers with thick pistils and a blanket of golden trichomes.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]",[]
Roadkill Skunk,roadkill-skunk,hybrid,"Roadkill Skunk is a strain with somewhat cloudy beginnings. A household strain name since the 1970s, Roadkill Skunk has conflicting origin stories, plus different versions of the strain from different seed banks have emerged. 

One version of Roadkill Skunk is reported to be an early variety of the original Skunk #1, a cross of Acapulco Gold, Colombian Gold, and an Afghani landrace bred by David Watson (aka Sam the Skunkman). According to online sources, the name Roadkill Skunk was used to differentiate the “skunkier” Skunk #1 varieties from the sweet-leaning ones.   

The second reported origin of Roadkill Skunk is a cross of Skunk #1 and an Afghani landrace, bred by CannaVenture seeds.","Roadkill Skunk is reported to grow short, producing tight, dense buds in a 63-day flowering period. The strain is also easy to grow either indoors or outdoors. ",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/202/avatar/original/1563239366-171207_29747_RoadKillSkunk_1.jpg,https://images.weedmaps.com/strains/000/000/202/hero/original/1563239366-171207_29747_RoadKillSkunk_1.jpg,[],[],[]
Romulan,romulan,hybrid,"Romulan, a cultivar named for the famous “Star Trek” species, is a cultivar with mysterious origins. Breeder boards speculate that the flower was created by a breeder named Romulan Joe (formerly Mendocino Joe), a Vietnam veteran who was a founder of the Trinity grow scene in Northern California. Romulan Joe allegedly gave a clone of Romulan to Federation Seeds in British Columbia, who used White Rhino to crossbreed and stabilize Romulan at a purported 97% identical to the original strains.

Romulan is said to be a descendent of Afghani landrace strains, often included in a group of cultivars in the 1980s called Blue Indicas. Breeders can get their hands seeds on this purple-colored flower, thanks to its anthocyanin content, from Federation Seeds and Next Generation Seeds. 

Lab tests report Romulan’s THC content anywhere between 18-24%, which makes this cultivar a good choice for users seeking a more potent experience. Romulan won third prize for Best Non-Solvent Hash in the 2017 High Times Medical Cannabis Cup in Canada.","The plant is touted to have Indica characteristics, with shorter stocky bushes and dense, compact nuggets. Novice growers will have an easy time with Romulan in both indoor and outdoor environments, as the plant often blooms in 8-9 weeks. ",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/203/avatar/original/1548711396-20170228_43460_FRomulan_I_TVB_8.jpg,https://images.weedmaps.com/strains/000/000/203/hero/original/1585593939-Romulan_Strains_BB_Romulan.png,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '48938613-7e33-48ce-860d-a4edc7168fdf', 'type': 'tag', 'name': 'Woody'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Romulan Grapefruit,romulan-grapefruit,hybrid,"Romulan Grapefruit, formerly known as Stinky, was created by the Canadian breeder Next Generation Seed Co. after returning from Europe with nearly a decade of acquired breeding knowledge. The strain is a mix of Next Generation’s Romulan and Grapefruit, which combine to deliver an aroma of grapefruit and citrus that also carries over into the flavor.

","Said to be slightly difficult to grow, Romulan Grapefruit produces average yields of light green colas with milky trichomes in an eight-to-nine-week flowering cycle. According to Next Generation Seed Co., the strain gets its flavor and effects from Romulan, while the Grapefruit genetics have a prominent impact on yield and structure. ",Next Generation Seed Co.,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/861/avatar/original/1568149722-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/861/hero/original/1568149722-Strain_Flower-Hybrid_v5__1_.jpg,['Stinky'],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': 'd4aab54e-1407-4b4c-bc1a-13b6c01dbe62', 'type': 'tag', 'name': 'Tingly'}]",[]
Rose Gold,rose-gold,hybrid,"Breeder Archive Seeds claims it created Rose Gold, which is a cross of Pineapple Express and MoonBow #75, specifically for use in hash production. According to the breeder, Rose Gold contains an astounding 28% THC and has a fruity, tropical, earthy flavor profile.","The balanced hybrid is suited for indoor or outdoor growing conditions, growing tall and flowering in about eight to nine weeks, delivering average yields of pale green buds with curly orange stigma hairs, along with a heavy coat of glistening trichomes.",Archive Seed Bank,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/968/avatar/original/1570144493-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/968/hero/original/1570144493-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': 'd2251529-4c0b-46c7-94c7-944f9c6eeeea', 'type': 'tag', 'name': 'Tropical'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}]"
Royal Highness,royal-highness,hybrid,"Royal Queen Seeds created Royal Highness by combining the high-CBD Respect with Spanish-originated Dance Hall, which features an even ratio of CBD to THC. As Royal Highness features higher levels of CBD, the strain is less psychoactive than other cannabis cultivars. It exudes aromas and matching flavors of haze mixed with skunk and sweet berries.","Royal Highness grows short and squat, manageable for most novice gardeners. The strain typically flowers in eight-to-nine weeks inside and early-October when grown outdoors. Royal Highness is adaptable in most environments, but take care to protect plants from sudden changes in weather or temperature.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': 'd243ee93-f3c7-4a3f-8e97-e1118bc88192', 'type': 'tag', 'name': 'Skunk'}]"
Royal Kush,royal-kush,hybrid,"Breeder G13 Labs crossed an Afghan #1 with a Skunk #1 to create a hybrid strain called Royal Kush. Not to be confused with California Breeder’s Association’s Royal Kush 7, G13’s Royal Kush is said to have a kushy aroma and spicy, herbal flavor profile, according to the breeder.","The balanced hybrid is easy to grow indoors or outdoors in a mild or Mediterranean region, producing high yields of long, dense buds that are heavily coated with resin during an eight-week flowering cycle. Royal Kush tends to thrive outdoors, according to the breeder, leading to harvests of up 1,000 grams per plant.",G13 Labs,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/961/avatar/original/1570143529-180128_42609_RoyalKush_1.jpg,https://images.weedmaps.com/strains/000/000/961/hero/original/1570143529-180128_42609_RoyalKush_1.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]",[]
Royal Queen,royal-queen,hybrid,"This royal lady’s history was a mystery until recently. We now know that Royal Queen is the daughter of Double Fun and Lucky Queen. Created by No Mercy Seeds, Royal Queen contains high levels of THC. As for flavor and aroma, fresh and fruity is a good guess, but users will have to open themselves up to the unknown.","Royal Queen is a petite plant that offers a high yield for indoor growers. Easy to maintain, this strain flowers in about 8 or 9 weeks and makes a great starter plant for the new cultivator.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
RudeBoi OG,rudeboi-og,indica,"Rudeboi OG by Archive Seed Bank is a combination of Irene OG, a strain with Chemdawg and Lemon Thai genetics, and a backcross Face Off OG. It has a sweet, earthy, woody flavor profile and tests up to 28% THC, according to plant nursery Nice Clones’ website. 

","Rudeboi OG ranges in height from medium to tall and grows well inside and outdoors. Its pest-resistance and tolerance of a variety of temperatures and other growing conditions makes Rudeboi OG a perfect plant for beginners, though it does require some pruning. Indoors, it’s ready to harvest in about nine weeks and outdoors, in late-October. Rudeboi OG delivers above average yields.",Archive Seed Bank,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
