Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
781,Sputnik,sativa,3.86,"Happy,Relaxed,Energetic,Tingly,Euphoric","What happens when you cross a space-themed Apollo 13 strain with Black Russian? You get Sputnik, a strain named after the satellite the Soviet Union launched into a quick orbit around the Earth in 1957. Sputnik has an aroma of a sweet fruit with hints of sour and diesel when exhaled. Patients typically look to Sputnik for relief of chronic pain, anxiety, and insomnia.","Sweet,Flowery,Tea","781,1450,996,1256,44,80"
782,Kushadelic,indica,3.86,"Relaxed,Sleepy,Euphoric,Uplifted,Focused","Kushadelic from Soma Seeds mixes the potency of indica with the cerebral energy of a sativa in this G-13 Haze and OG Kush cross. Whether you’re out socializing or enjoying your own company, Kushadelic provides a comfortable, versatile buzz in moderate doses. The floral, citrus aroma from Kushadelic’s Haze genetics pierces through dominant earthy and hashy notes. Soma recommends growing Kushadelic in organic soil and allowing 10 to 11 weeks for its full flowering indoors.","Pungent,Pine,Earthy","782,978,558,1423,894,689"
783,Kosher Tangie,hybrid,3.86,"Happy,Relaxed,Uplifted,Creative,Euphoric","Kosher Tangie, a 60/40 indica-dominant hybrid, combines two award-winning strains from DNA Genetics. Taking the musky pine aroma of Kosher Kush and crossing it with the sweet tangerine notes of Tangie, Kosher Tnagie has complex palate of skunky citrus flavors. The combination of indica and sativa genetics provide balanced effects that calm the body and lift your mood.","Citrus,Pine,Orange","783,756,431,1114,802,666"
784,Special K,hybrid,3.86,"Happy,Uplifted,Euphoric,Relaxed,Creative","Special K is a hybrid cross between sativa Western Winds and indica Slyder. The plant is tall with substantial girth, despite its lanky indica influence, with elongated buds. The effects are long-lasting with a quick onset, beginning with a physical buzz and evolving into a heady lift that borders on psychedelic. Special K has been called adventureful, making it a wonderful daytime strain. Indoor or outdoor grows can expect to flower at around 10 weeks.","Sweet,Citrus,Earthy","784,1693,1568,1571,1731,200"
785,Lemon Alien Dawg,hybrid,3.86,"Relaxed,Creative,Focused,Aroused,Sleepy","Lemon Alien Dawg comes from Alien Genetics, who crossbred an Alien Dawg female with Lemon Kush to create this pungent hybrid cannabis strain. Large chunky buds radiate with sweet and sour fruity notes dominated by the zesty scent of lemon. Leaning slightly to the indica side of the genetic spectrum, Lemon Alien Dawg lets your body sink into deep relaxation while the mind floats away to happy escapes.","Pungent,Pine,Earthy","785,1944,1462,776,215,752"
786,Sonoma Coma,sativa,3.86,"Euphoric,Uplifted,Happy,Focused,Talkative","Sonoma Coma sprouted in Sonoma County, California and presents itself with tight, electric green buds which produce a thick coat of trichomes that sparkle in the sunlight. Contrary to what the name implies, Sonoma Coma is actually an energetic, uplifting sativa. The genetics remain a closely guarded recipe but are impressive enough to claim the prize for 1st Place Sativa at the 2012 High Times Medical Cannabis Cup in Los Angeles. A complex mixture of sweet tropical fruits and spiced, woody undertones combine to give Sonoma Coma its distinct aroma. The flavor maintains the aroma’s complex characteristics but provides a smooth mellow finish. True to its sativa heritage, Sonoma Coma produces an energetic invasion of heady effects that produce bursts of creativity and euphoria. This strain is also known to induce a case of the munchies, so it makes a great remedy to a diminished appetite.","Citrus,Tropical,Spicy/Herbal","786,884,207,518,940,54"
787,Soul Assassin Og,hybrid,3.86,"Relaxed,Euphoric,Happy,Focused,Sleepy","Soul Assassin OG is an OG Kush variety bred by the Soul Assassins Crew, a collective of musicians and artists affiliated with the hip hop group Cypress Hill. While the genetics remain unclassified, there have been rumblings through the underground that Lemon Thai is the mistress responsible for influencing OG Kush into its Soul Assassin OG offspring. It is an indica-dominant hybrid that produces smooth, expansive smoke with and aroma of pungent diesel and citrus fumes. Soul Assassin OG evokes sleepy, knockout indica effects that help silence any pain, stress, or tension from a long a day.","Diesel,Lemon,Pungent","787,1538,100,1077,384,637"
788,Black Cherry Cheesecake,hybrid,3.86,"Creative,Relaxed,Euphoric,Hungry,Uplifted","Thought to have originated in Southern Oregon from an unknown breeder, Black Cherry Cheesecake is an indica-dominant hybrid that supposedly crosses Black Cherry Soda, Super Silver Haze, and Cheese. These large, pink-tinged purple flowers smell like cherries and sugar, and possess a flavor that is aptly described by the name. Black Cherry Cheesecake leaves users relatively clear-headed while providing strong, sedating body sensations that can make motivation difficult.","Berry,Sweet,Cheese","788,1425,1377,2014,1359,454"
789,Lemon Og Haze,hybrid,3.86,"Energetic,Happy,Focused,Euphoric,Creative","Lemon OG Haze by Nirvana is the sensible combination of its titular elements: Lemon OG and Haze. While Lemon OG contains weighty Kush elements that are kind on the body, the excess limonene and alpha-pinene lead the consumer into a state of mental alertness and euphoria. In the right measure, this strain can be a one-way ticket to productivity, hazing the mind into a content lull while wrapping the body in a calm focus. Enjoy this strain as a means to crush anxiety, depression, lethargy, and fatigue.","Lemon,Citrus,Lime","789,559,1263,1591,175,100"
790,Sour Bubba,indica,3.86,"Happy,Euphoric,Uplifted,Relaxed,Sleepy","Sour Bubba blends two famous strains that are robust all on their own but, when unified, show unique flavors and effects that speak to their long, potent lineages. With forward-leaning mental stimulation brought on by Diesel and a high-end Kush oriented body aura brought on by Bubba, Sour Bubba relaxes while providing ample mental energy to enjoy stationary activities like board games, video games, and movies.","Earthy,Diesel,Flowery","790,451,153,1272,1029,194"
791,Black Bubba,indica,3.86,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Black Bubba is an indica-dominant cross of Bubba Kush and Black Russian. The resulting buds carry a sweet aroma with subtle fruit notes that produce earthy flavors of hash and pine. The relaxing indica effects calm body pains, stimulate the appetite, and are known to sedate the body into a state of couchlock.","Earthy,Flowery,Pine","791,1450,649,122,961,1317"
792,Sour Candy,hybrid,3.86,"Happy,Creative,Focused,Uplifted,Energetic","Sour Candy is a predominantly sativa mix of Sour Diesel and Bubble Gum. Both parent strains are admired for their exquisite flavors and the happy, uplifting effects they produce. Once combined, Sour Candy takes on a mouth-watering array of sweet, tropical fruit flavors with a pungent diesel finish. The potent effects are euphoric and talkative which makes Sour Candy a popular choice for daytime use.","Diesel,Earthy,Sweet","792,979,1268,1470,1259,799"
793,Chong Star,hybrid,3.86,"Relaxed,Happy,Uplifted,Creative,Euphoric","Chong Star, named in honor of Tommy Chong, is a hybrid strain that is cultivated and sold by Marisol Therapeutics in Pueblo, Colorado.","Honey,Earthy,Skunk","793,253,570,317,1987,1349"
794,Chronic Thunder,indica,3.86,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Chronic Thunder is an indica strain bred by Barney’s Farm that offers full-body effects alongside a funky diesel and spicy pepper aroma. Save this heavy-hitter for a day in which you find your to-do list blank, because this indica will have you stuck in a comfortable place for a while. With moderate levels of CBD, Chronic Thunder is preferred for resolving insomnia, pain, and upset stomachs.","Pungent,Sweet,Diesel","794,1548,1970,106,1824,297"
795,Black Betty,hybrid,3.86,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Black Betty is a long-lasting sativa-dominant hybrid that stems from East Coast Sour Diesel and AK-47 genetics. With a rich but subtle aroma, Black Betty launches you into soaring euphoria that may be considered too lofty for the novice consumer. Though certainly good for a lazy day, Black Betty is known to induce a forgetfulness so fierce that concentration and productivity can seem impossible for some. As a way of enhancing Black Betty’s flavor, others have bred in Cherry AK-47 for its sweet cherry flavor profile. Black Betty offers growers notable yields following her 64-day flowering cycle, with dense buds that are easy to manicure.","Sweet,Berry,Pungent","795,1317,1102,1515,2059,1844"
796,La Chocolat,hybrid,3.86,"Relaxed,Happy,Euphoric,Sleepy,Hungry","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.","Earthy,Coffee,Sweet","796,242,745,839,926,1026"
797,Sour Haze,sativa,3.86,"Uplifted,Euphoric,Happy,Creative,Relaxed","What people usually notice first about this strain is it’s strong sour smell and equally citrusy taste—it might just be enough to make you pucker. A cross between Sour Diesel and an unknown Haze strain, Sour Haze is a natural favorite for fans of other Haze hybrids and a good choice for anyone looking for flavor. The crystal-coated flowers are potent, but this sativa heavy high keeps users feeling focused and alert.","Citrus,Lemon,Pungent","797,1268,1672,1470,120,1675"
798,Le Silver Royale,hybrid,3.86,"Uplifted,Talkative,Euphoric,Happy,Energetic","Le Silver Royal is grown solely by Kleen Karma Gardens in Oregon. This wondrous cross of Green Queen and Super Silver Haze blends bright cerebral qualities with the hazy energy of its recessive Green Crack and Super Silver Haze genetics. A 60/40 sativa-dominant hybrid, this stimulating strain is ideal for physical activity or rising above the cloud cover the Pacific Northwest is known for.","Skunk,Cheese,Woody","798,492,581,813,1878,1448"
799,Sour Jack,sativa,3.86,"Energetic,Creative,Happy,Uplifted,Euphoric","Sour Jack, one-half Sour Diesel one-half and Jack Herer, takes its name from its parents. It has developed a solid reputation and is highlighted by an intense aroma and profound cerebral effects. After combining the two sativa-dominant strains, we are left with an amazing combination of tropical, sweet flavors that mix with pungent tones of citrus and diesel. The uplifting effects can provide a spark of energy and minimize body fatigue. Sour Jack is a great strain to fight off depression and to help you stay active.","Citrus,Sweet,Tropical","799,824,1180,632,1354,1185"
800,Black 84,indica,3.86,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Black ’84, also known as UW Black ’84, is one of a few elusive strains that managed to escape from the medical cannabis garden at the University of Washington in the early and mid-1980s. Believed to descend from Afghani genetics, Black ‘84’s unknown indica lineage expresses itself as a stout, dark, and bushy plant. The aroma is a complex mix of sweet tropical flavors that blend with a smooth nutty finish. Its powerful, relaxing effects on the body make Black ’84 a great nighttime strain when combatting anxiety, pain, and insomnia.","Pungent,Earthy,Grape","800,1317,795,521,1911,2018"
801,Lambo Og,hybrid,3.86,"Happy,Euphoric,Sleepy,Hungry,Relaxed","Created by T.H. Seeds, Lambo is notable for being bred specifically to grow well outside. A cross of Jamaican Haze, Jamaican Purple and Super Afghan, this “guerilla grower” has a strong natural resistance to molds and pests and an 8 week flowering time, making it ideal for those in warmer climates who want to give outdoor growing a try. Originally named Rambo, this strain has been redubbed thanks to some litigious copyright people, but it’s still the same good stuff.","Tropical,Sweet,Ammonia","801,1034,1996,816,301,1458"
802,Kosher Kush,indica,3.86,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Kosher Kush, offered now in seed form from DNA Genetics, originated in Los Angeles as a clone-only strain. Winner of High Times Cannabis Cup’s Best Indica in 2010 and 2011, as well as Best Strain in 2011, Kosher Kush produces staggering levels of THC, with some samples testing over 29%. Known as one of the most odiferous OG Kush-related strains, it has a unique yet familiar smell reminiscent of rich earth and fruit, and is considered by many to be one of the tastiest smokes around. The high experienced is typical of many heavy indica strains, producing pronounced relaxation and pain relief, with sleep often following close behind.","Earthy,Pungent,Woody","802,1051,689,756,2016,591"
803,Birthday Cake Kush,hybrid,3.86,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Birthday Cake Kush, also known as Wedding Cake or just Birthday Cake, is an indica-dominant hybrid with strong body effects and sweet cake-like flavor. As decadent as its Girl Scout Cookies and Cherry Pie parent strains, Birthday Cake Kush buds bloom with a crystalline icing of THC-rich resin. Like any dessert, Birthday Cake Kush is the perfect way to end your day, with deeply relaxing effects that soothe the body without sedating the mind. This indica is preferred by patients treating pain, anxiety, appetite loss, inflammation, and headaches.","Sweet,Vanilla,Lemon","803,440,896,480,1631,278"
804,Biker Leblanc,hybrid,3.86,"Relaxed,Focused,Energetic,Euphoric,Aroused","A sativa-dominant hybrid rarely found nowadays, Biker Le’Blanc is a dense and resinous strain that combines Raskal’s The White with Hell’s Angel OG (Biker Kush cut). Leading with a skunky, earthy aroma typical of OG varieties, Biker Le’Blanc offers heavily relaxing effects that weigh the body down without causing too much cloudiness in the head. Its THC content is known to stretch to 23%, so proceed with caution if you’re sensitive to cannabis’ psychoactive effects.","Spicy/Herbal,Sage,Earthy","804,1056,308,151,651,2115"
805,La Kush,hybrid,3.86,"Relaxed,Happy,Creative,Uplifted,Euphoric","Originating in Los Angeles, California, LA Kush is a hybrid with obscure genetic roots. Not to be confused with OG Los Angeles Kush, the general consensus is that LA Kush is a variety of OG Kush, and possibly a select phenotype of Abusive OG. In spite of the mystery, LA Kush presents itself as an earthy mix of pine and menthol flavors. Its happy effects bring a smile to your face, lifting your mood and relaxing sore muscles. If you are looking to alleviate stress or need a spark of creativity, look to LA Kush.","Menthol,Pungent,Pine","805,470,141,1538,383,1959"
806,Sour Willie,sativa,3.86,"Tingly,Happy,Sleepy,Uplifted,Hungry","Sour Willie is a sativa cross between Sour Diesel and Willie Nelson. These dense buds have a pungent diesel aroma with fruity and spicy undertones, and deliver racing heady effects with a physical buzz, making it a great daytime choice.","Pungent,Diesel,Sweet","806,554,1412,820,85,120"
807,Star Killer,indica,3.86,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Star Killer, winner of Best Hybrid Flower at the 2016 Colorado Cannabis Cup, is a 70% indica-dominant hybrid that crosses Skywalker OG and Rare Dankness #2. The dense, purple buds offer a sweet, lemon flavor, and aid in treating pain, insomnia, AIDS, PTSD, and Gastrointestinal Disorder. Medium to high yields can be achieved both indoors and outdoors, with a flowering time of 65 days.","Earthy,Lemon,Pungent","807,99,1060,185,966,405"
808,Cookies Kush,indica,3.86,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Cookies Kush from Barney's Coffeeshop combines Girl Scout Cookies with the Rolex phenotype of OG Kush, resulting in a potent indica cross worthy of 1st place in High Times' 2014 Amsterdam Cannabis Cup in the 'Best Coffeeshop Strain' category.","Sweet,Earthy,Pungent","808,713,293,969,566,1408"
809,Stardawg,hybrid,3.86,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Stardawg, possibly named after the bright, sparkling crystal trichomes that blanket the strain like stars, is a hybrid cross between Chemdawg 4 and Tres Dawg. Earthy pine with sour notes of diesel color Stardawg, whose uplifting effects may help patients treating stress, fatigue, and anxiety disorders. Stardawg flowers in 67 days indoors with moderate yields.","Diesel,Pungent,Earthy","809,1016,357,897,1220,17"
810,Super Sour Skunk,hybrid,3.86,"Happy,Euphoric,Talkative,Sleepy,Uplifted",Super Sour Skunk from Hortilab Seeds is a hybrid that was developed when an old school Super Skunk clone (pre-98) from Holland was pollinated by an East Coast Sour Diesel male. The result is a sativa-dominant mix that rewards consumers with high-flying effects. The combination of sour citrus aromas shift to flavors of earthy Skunk that produce happy thoughts and a smile that lasts all day. Super Sour Skunk’s uplifting effects will help keep depression away and trigger creative thoughts.,"Citrus,Earthy,Diesel","810,820,1515,515,605,2131"
811,Super G,sativa,3.86,"Creative,Tingly,Uplifted,Energetic,Happy","Super G by Soulshine Cannabis is a Haze-heavy powerplayer that combines the stimulating elements of G13 and Super Silver Haze. This sativa-dominant combination smells of Haze, exhibiting earth and skunk aromas and pine on the exhale. The effects strike the head immediately, offering an uplifting mental buzz and pleasant body effects that complement the stimulation natural to this strain.","Earthy,Pungent,Pine","811,1808,492,641,798,1878"
812,Jedi Kush,indica,3.86,"Euphoric,Relaxed,Happy,Uplifted,Sleepy","Cali Connection’s Jedi Kush brings together the forces of Death Star and SFV OG Kush, an indica alliance that will awaken both mind and body. Jedi Kush’s timid aroma isn’t fully realized until a bud is cracked open, releasing a complex fusion of sour skunk and tangy diesel. Dreamy euphoria blankets the mind, a sensation that builds over time into bolting cerebral energy that’s unexpected from our indicas. This lethargy-free strain is a great way for patients to get a powerful dose of cannabinoids during the day while treating ailments like pain, PTSD, depression, stress, headaches, and appetite loss. Jedi plants show resilience in outdoor gardens but also thrive indoors with a flowering time of 8 to 9 weeks.","Earthy,Pungent,Sweet","812,1093,856,970,1553,491"
813,Super Green Crack,sativa,3.86,"Happy,Giggly,Energetic,Focused,Euphoric","Super Green Crack is a true sativa. Like a cup of strong coffee, this strain will give you a hefty boost of energy to start your day. The daughter of Super Silver Haze and Green Crack, Super Green Crack is vivacious, thoughtful, and creative. This strain is perfect for those looking to combat fatigue or depression. Super Green Crack features an extremely pungent aroma, producing a strong skunk-like scent. The effects of this strain are moderate to long-lasting, and a little goes a long way.","Earthy,Flowery,Pungent","813,1632,798,1383,1779,1543"
814,Jawa Pie,indica,3.86,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Jawa Pie is a sumptuously minty cut by Ocean Grown Seeds. This indica achieves its unique bouquet of shortbread, lime, and menthol by combining CookieFam’s Key Lime Pie with Ocean Grown’s own Alien Rift. The heavy combination anchors the consumer to the couch with weighted limbs and stoney sedation, making this an ideal end-of-the-day strain. Utilize Jawa Pie to mute stress, anxiety, and physical pain.","Lime,Mint,Sweet","814,887,776,1006,23,22"
815,Super Jack,sativa,3.86,"Happy,Energetic,Uplifted,Talkative,Focused","A super sativa! Super Jack mixes Super Silver Haze with the illustrious Jack Herer to create a sweet, spiced blend with a rich buttery aroma. The potent sativa effects spark creativity and provides an uplifting boost of energy. Super jack is a great daytime strain that will calm any anxieties and propel you through your day.","Sweet,Pungent,Skunk","815,1895,798,492,1707,824"
816,Jamaican Dream,sativa,3.86,"Happy,Euphoric,Uplifted,Relaxed,Energetic","Jamaican Dream is a 90% sativa bred by Eva Seeds using Jamaican genetics. A subtle and sweet flavor carries you through to an elevated mood and weightless euphoria. The effects are light enough to start your day with, making this strain ideal for early treatment of depression and fatigue. Jamaican Dream’s pointed, compact buds will finish their flowering cycle after 42 to 45 days indoors, or at the end of September in outdoor gardens.","Lime,Sweet,Pineapple","816,421,1037,1925,801,910"
817,Critical Kush,indica,3.86,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Critical Kush from Barney’s Farm is a mostly indica strain that blends together two famed cannabis staples, Critical Mass and OG Kush. Aromatic notes of earthiness and spice usher in a calming sensation that relaxes the mind and body. Critical Kush pairs a staggeringly high THC content with a moderate dose of CBD, making this strain a perfect nighttime medication for pain, stress, insomnia, and muscle spasms. Growers cultivating this strain indoors will wait 50 to 60 days for Critical Kush to complete its flowering cycle.","Earthy,Pungent,Sweet","817,709,708,1547,1524,1749"
818,Super Silver Lights,hybrid,3.86,"Happy,Uplifted,Creative,Euphoric,Giggly","Super Silver Lights is a hybrid strain with effects that quickly transition from functional to deeply sedating with every hit. With an uplifting onset that settles behind the eyes, Super Silver Lights is immediately euphoric, leaving the taste of mint, herbs, and earth on the palate. These effects course through the body, leading the consumer to a comfortable and cozy place. But double down on your dosage and anticipate weighed effects that are warm and sedative, drawing you closer to sleep. Utilize Super Silver Lights for depression, stress, and mood elevation in small doses, and meanwhile rest and deep relaxation can be found with heavier doses.","Flowery,Sweet,Pungent","818,581,798,492,1364,815"
819,Super Snow Dog,sativa,3.86,"Uplifted,Happy,Euphoric,Relaxed,Focused","Super Snow Dog, also known as Snow Dawg or G6, is a sativa-dominant strain from the Chemdawg family. This fast-flowering strain has a sweet fruity and citrus aroma, and patients typically choose Super Snow Dog for daytime relief of stress and tension.","Citrus,Flowery,Earthy","819,597,2133,589,2012,381"
820,Super Sour Diesel,sativa,3.86,"Uplifted,Happy,Euphoric,Creative,Energetic","Taking after its popular parents, Super Sour Diesel is one incredible sativa. A potent cross between Super Silver Haze and Sour Diesel, Super Sour Diesel knocks out stress and pain while fostering creativity and euphoria. In true sativa form, Super Sour Diesel energizes, making it great for daytime use. New users, however, should use caution when trying this strain. Super Sour Diesel produces strong cerebral effects, which may be overpowering to novice MMJ patients. Familiar users will be surprised at this strain’s introspective spark. Sociable and fun, the effects of this strain are felt upon first taste. Super Sour Diesel’s pungent, fuel-like aroma speaks to the sheer strength of this strain.","Diesel,Sweet,Earthy","820,515,605,810,1290,1259"
821,Avi Dekel,hybrid,3.86,"Relaxed,Uplifted,Happy,Focused,Energetic","Avi-Dekel is a sativa-dominant strain developed by Tikun Olam to contain high levels of CBD and almost no THC. Its CBD content, reaching as high as 15.8 percent, is intended to treat inflammation as well as sleep and digestive disorders. Avi-Dekel is ideal for patients seeking relief without the psychoactive effects of THC.","Earthy,Flowery,Sweet","821,1601,1615,1116,964,751"
822,Supergirl,indica,3.86,"Happy,Relaxed,Sleepy,Euphoric,Giggly","Nirvana Seeds created Supergirl by backcrossing the famous Skunk #1 and focusing on the indica portion of that strain’s genetics. This 80% indica produces large rock-hard buds, tons of resin, and a strong, skunky and coffee odor. Although containing a relatively mild THC content between 8% and 15%, the high is fast and hard-hitting, leaving the user fully relaxed and unable to focus. A good choice for treating insomnia, Supergirl has sedating effects that help your eyes ease shut.","Earthy,Woody,Spicy/Herbal","822,1630,1895,1871,1932,1648"
823,Jesus,hybrid,3.86,"Happy,Relaxed,Euphoric,Giggly,Tingly","Jesus, not to be confused with Jesus OG, is a Seattle staple grown by Solstice. This hybrid is a cross between White Widow and Blue Dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. Its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind.","Earthy,Citrus,Lemon","823,651,1344,1413,706,767"
824,Jack Wreck,sativa,3.86,"Energetic,Happy,Uplifted,Euphoric,Creative","Jack Wreck is a potent sativa strain that combines two timeless classics, Jack Herer and Trainwreck. While Trainwreck’s influence is evident in Jack Wreck’s sweet citrus aroma, don’t expect the mellow, dreamy buzz associated with Jack Herer: Trainwreck genetics give Jack Wreck an intense kick of cerebral psychoactivity. The racy jolt of energy provided by this sativa hybrid may be too intense for some patients, but those needing high THC levels for pain, appetite loss, and inflammation can trust Jack Wreck for potent daytime relief.","Citrus,Pine,Sweet","824,1707,1511,1354,2122,425"
825,Jack Burton,indica,3.86,"Aroused,Sleepy,Uplifted,Creative,Euphoric","Jack Burton by THClones is a sensuous indica-dominant strain born from two distinct Cookie crosses. Created by combining Fortune Cookies and Thai Cookies, Jack Burton draws out each strain’s sweet, pungent aromas while offering consumers long-lasting physical effects that titillate the senses. The terpene profile is buttery and floral while the strain’s subtle euphoria tempers focus and uplifts the mind. Enjoy at the end of the day to indulge in Jack Burton’s physical benefits with your partner or significant other.","Sweet,Flowery,Rose","825,137,710,1390,848,1354"
826,Critical Skunk,hybrid,3.86,"Happy,Relaxed,Creative,Hungry,Aroused","Critical Skunk is a hybrid bred by Mr. Nice Seeds and parented by Skunk #1 and Afghani. Successful in all environments, growers can expect flowers between 6 and 9 weeks.","Earthy,Skunk","826,931,1514,641,1932,1826"
827,J1,hybrid,3.86,"Euphoric,Happy,Creative,Uplifted,Energetic","J1, or Jack One, is a high-end hybrid strain that is gaining widespread popularity. Although a hybrid, the high-energy effects categorize the strain more on the sativa end of the scale. J1 is a cross between two famous sativas, Skunk #1 and Jack Herer, and is best known for its strong, uplifting, clear-headed buzz that allows for mobility. The flowers are emerald green and frosty with a sweet aroma resembling the unmistakable Jack Herer pungency. This strain’s seemingly only flaw is the top-shelf price that tends to come with its exceptional quality.","Citrus,Pine,Sweet","827,1366,824,1707,1354,1185"
828,Atomic,hybrid,3.86,"Happy,Relaxed,Talkative,Creative,Euphoric","Atomic by Bomb Seeds is a deep blend of potent genetics. OG Kush was crossed with Chemdawg, which was then crossed with THC Bomb to create Atomic. This blend of THC-dominant genetics lends Atomic potency that isn’t meant for everyone. Be warned that this intense high hits with a rush to the head and settles into a long-lasting body stone that evaporates stress and worries. Atomic has a fair yield and a Kushy flavor that is thick with gas and forest aromas. Enjoy Atomic after you clear your schedule as its effects may change your plans.",Earthy,"828,226,1703,1558,1691,1695"
829,Island Maui Haze,sativa,3.86,"Euphoric,Tingly,Creative,Happy,Relaxed","Island Maui Haze is a 75/25 sativa-dominant strain with effects that can creep up on you. These dense, forest green buds may not initially attract you based on its strong, ammonia smell; however, this crystal-covered strain is praised for its uplifting, energetic effects that can relieve pain and other symptoms without bringing you down into a lazy state.","Tropical,Mango,Ammonia","829,1171,1566,1655,408,1189"
830,Astroboy,sativa,3.86,"Relaxed,Energetic,Happy,Creative,Focused","Astroboy is an energetic, sativa-dominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting. The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day. The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects.","Sweet,Citrus,Grapefruit","830,996,1329,1240,1269,307"
831,Sweet And Sour Widow,indica,3.86,"Relaxed,Uplifted,Happy,Focused,Sleepy","Bred by CBD Crew, Sweet and Sour Widow is a 70/30 indica-dominant cannabis strain with a 1:1 CBD-THC ratio and a subtle sweet onion aroma. Because of its balanced cannabinoid profile, Sweet and Sour Widow’s psychoactive effects are mild, making this strain suitable for novice consumers and patients needing to medicate without a foggy head. Sweet and Sour Widow is derived from White Widow genetics and an unnamed sativa-hybrid to accentuate its CBD profile.","Earthy,Sweet,Woody","831,873,1935,749,255,1207"
832,Incredible Hulk,sativa,3.86,"Happy,Euphoric,Focused,Relaxed,Uplifted","Incredible Hulk is a sativa strain that harnesses the active and stimulating effects of its parent strains, Green Crack and Jack Herer. Creativity and social energy get a boost while blueberry, pineapple, and earthy flavors overwhelm the palate. This high-energy sativa is preferred as a daytime remedy for minor aches and pains.","Sweet,Earthy,Citrus","832,1759,1393,813,1707,425"
833,Incredible Bulk,indica,3.86,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Incredible Bulk is a mixture of three notable indicas. Big Bud combines with Super Skunk and Green Spirit to create the sweet earthy flavors of hash that usher in Incredible Bulk’s relaxing effects. Its sedating effects make Incredible Bulk a great choice to help you unwind at the end of the day. Originally bred by Dr. Krippling for its heavy yields and ease of growth, Incredible Bulk is a very stable plant that makes a compelling case for indoor cultivation. The buds are known to explode in size when grown hydroponically.","Earthy,Skunk,Spicy/Herbal","833,2134,1497,1234,410,1513"
834,Super Cheese,indica,3.86,"Tingly,Euphoric,Relaxed,Happy,Sleepy","Super Cheese, bred by Positronics, is a throwback to the old school strains that filled the coffee shops of Amsterdam in the late 1980s. Super Cheese was created through inbreeding, crossing Cheese genetics with another select phenotype believed to be Exodus Cheese. The aroma of this indica-dominant hybrid is a mix of skunky musk and a pungent blue cheese funk that has become synonymous with Cheese varieties. The flavor is a strong, smooth blend of bittersweet herbs and cream, like an earthy buttermilk.","Cheese,Blue,Cheese,Earthy","834,1028,1783,1426,1746,1681"
835,Supa Don,sativa,3.86,"Uplifted,Creative,Energetic,Focused,Happy","Supa Don is a 70% sativa strain bred from Oregon Trainwreck (also called “The Don”) and DJ Short Blueberry. Its dark, forest green buds carry a distinct blueberry aroma and a heavy coat of crystal resin. Due to the high amount of the terpene beta-caryophyllene, Supa Don is known to calm anxieties while lifting depression.","Spicy/Herbal,Sweet,Apricot","835,122,1694,1078,230,591"
836,Beast Mode 20,indica,3.86,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Beast Mode 2.0, also known as BlueFire OG, is an indica-dominant hybrid of Master Kush and White Fire OG. It is a proprietary strain distributed by Green Umbrella in Seattle, and bred by Grass Roots Pharm. The strain was developed on the heels of Green Umbrella's other successful proprietary strain, Beast Mode OG. After another successful season for both Beast Mode OG and Seattle’s infamous running back, Grass Roots Pharm and Green Umbrella collaborated to bring Beast Mode 2.0 to the medical market, with plans to make it available for recreational consumption later this summer. Beast Mode 2.0 has a sweet mix of earthy berry and piney Kush flavors and has tested as high as 23% total cannabinoids by Steep Hill Lab. The effects of this hybrid are steered by the heavy indica properties that medical patients seek when fighting chronic pain, sleeplessness, or a lack of appetite.","Earthy,Woody,Berry","836,1303,1504,2009,290,438"
