strain_id,strain_name,strain_type,strain_rating,effects_profile,flavor_profile,strain_description,strain_profile
1015,Nyc Diesel,Hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Diesel,Earthy,Pungent","Bred by Soma Sacred Seeds, NYC Diesel (or Soma Sour Diesel) is a 60% sativa-dominant cross between Mexican and Afghani landraces. This strain provides strong cerebral effects that ease into a deep, full-body relaxation over time. A pungent lime and grapefruit aroma is the mark of a high quality batch, like those that won this strain five Cannabis Cup trophies in the early 2000s. NYC Diesel’s happy, talkative qualities make this hybrid a good choice for social activities and many anxiety-prone consumers praise it for its paranoia-free effects.","Hybrid,Happy,Uplifted,Relaxed,Energetic,Euphoric,Diesel,Earthy,Pungent"
1016,Nypd,Sativa,4.2,"Uplifted,Happy,Relaxed,Giggly,Focused","Flowery,Pine,Earthy","NYPD, or New York Power Diesel, is a 70/30 sativa-dominant hybrid bred by Nirvana Seeds, who crossed Aurora Indica with a Mexican sativa called Eldorado. With its dueling indica and sativa genetics, NYPD delivers a balanced effect that is neither racy nor lethargic, but a happy in-between. Its name is derived from its funky diesel aroma which is sweetened by the citrusy smell of lemons. ","Sativa,Uplifted,Happy,Relaxed,Giggly,Focused,Flowery,Pine,Earthy"
1017,Obama Kush,Indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent","This unique indica appropriately channels the President’s famous message of ‘Change’ as it invigorates and inspires. Daughter of indica Afghani and mostly sativa hybrid OG Kush, Obama Kush sets itself apart from other indicas through its cerebral stimulation and euphoric rush. This strain is recommended for all levels of patients looking for a balanced experience, as it offers powerful physical effects as well as an intense cerebral uplift that does not stimulate appetite or put you to sleep. The flowers are frosty with a purple hue and reddish hairs, giving off a light aroma.","Indica,Relaxed,Happy,Euphoric,Uplifted,Creative,Earthy,Sweet,Pungent"
1018,Oca Gold,Indica,4.8,"Sleepy,Relaxed,Tingly,Euphoric,Happy","Spicy/Herbal,Sweet,Flowery","OCA Gold by Oregon Cannabis Authority is a potent indica-dominant cross of Afghani and Hindu Kush. This sedative genetic union is a natural bedfellow for consumers seeking relief from insomnia, restlessness, and minor physical discomforts. Its heavy physical effects ground the body and mind in a blissful, tranquilizing state. OCA Gold has a Kushy terpene profile that reeks of sweet floral and hashy aromas. ","Indica,Sleepy,Relaxed,Tingly,Euphoric,Happy,Spicy/Herbal,Sweet,Flowery"
1019,Ocd,Sativa,4.5,"Energetic,Creative,Aroused,Uplifted,Euphoric",Tar,"OCD is a strain from downtown Seattle that can be rare to find, but is worth the hunt if you’re a true sativa lover. Active and energetic to the core, this strain is good for those who need to get stuff done. New patients should be cautious, however, as it can cause anxiety.","Sativa,Energetic,Creative,Aroused,Uplifted,Euphoric,Tar"
1020,Odyssey,Hybrid,4.3,"Focused,Relaxed,Happy,Uplifted,Tingly","Sweet,Skunk,Flowery","Odyssey is a well-balanced hybrid strain that originated in San Francisco and quickly became popular in the Bay Area. This strain flowers at 7 to 8 weeks, producing large, dense buds that have a sweet, sugary aroma. Its candy flavor is best appreciated through a vaporizer and provides strong head-based effects. Some head pressure is common, but this strain’s indica side comes out later, leading to a body-melting calm. Overall, Odyssey will take you on a smooth journey.","Hybrid,Focused,Relaxed,Happy,Uplifted,Tingly,Sweet,Skunk,Flowery"
1021,OG 18,Hybrid,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors.","Hybrid,Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Pine,Diesel"
1022,OG 18,Hybrid,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors.","Hybrid,Relaxed,Sleepy,Happy,Hungry,Euphoric,Earthy,Pine,Diesel"
1023,OG Cheese,Hybrid,4.4,"Relaxed,Creative,Happy,Sleepy,Uplifted","Cheese,Citrus,Earthy","OG Cheese by GreenLabel Seeds is a sour-smelling hybrid that crosses a potent OG Skunk #1 with the resinous indica Afghani. Together, these two parent a powerfully euphoric strain with a funky aroma somewhat similar to that of cheese. OG Cheese’s dreamy, intoxicating buzz makes it a popular strain for recreational consumers, but commercial growers also cherish this strain for its short flowering cycle and heavy yields. Indoors, OG Cheese finishes flowering in 50 to 60 days while outdoor plants are ready to harvest by mid-October.","Hybrid,Relaxed,Creative,Happy,Sleepy,Uplifted,Cheese,Citrus,Earthy"
1024,OG Chem,Hybrid,4.5,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Pine,Pungent,Earthy","OG Chem, also called Chem OG, is a sativa-dominant cross between two legendary strains, Chemdawg and OG Kush. The diesel notes of Chemdawg combine with the sour, piney scent of OG Kush to create a pungent skunky aroma that fills the room. Uplifting and euphoric, OG Chem invites the mind to indulge in its creative side while elevating the mood to a light and carefree state.","Hybrid,Happy,Euphoric,Relaxed,Uplifted,Energetic,Pine,Pungent,Earthy"
1025,OG Diesel Kush,Strain type currently unknown,0,"Happy,Relaxed,Creative,Euphoric,Hungry","Skunk,Pine,Pungent",OG Diesel Kush is a hybrid marijuana strain with frosty dark green buds. It has a THC content of up to 19.5% and CBD levels of up to 0.36%.,"Strain type currently unknown,Happy,Relaxed,Creative,Euphoric,Hungry,Skunk,Pine,Pungent"
1026,OG Eddy Lepp,Indica,4,"Happy,Sleepy,Hungry,Talkative,Tingly",Tropical,OG Eddy Lepp is an indica strain that won 2nd place in the 2013 Cannabis Cup and also competed in the 2014 competition.,"Indica,Happy,Sleepy,Hungry,Talkative,Tingly,Tropical"
1027,OGiesel,Hybrid,4.2,"Euphoric,Energetic,Creative,Relaxed,Happy","Earthy,Pine,Diesel","An inspirational cross between SFV OG Kush and Giesel, OGiesel is all smiles. While mild at first, a euphoric feeling creeps up steadily after initial use. While the slightly sativa dominant traits make this a happy, uplifting strain, OGiesel provides a truly hybrid experience. Its smiley effects are complemented by an easy feeling of bodily relaxation, making this strain perfect for an afternoon picnic or regular daytime use. The aroma of this hybrid is strong and piney with pleasant lemon undertones. OGiesel typically flowers in 8 weeks and features more indica-like growing characteristics. For best yields, this strain should be grown indoors.","Hybrid,Euphoric,Energetic,Creative,Relaxed,Happy,Earthy,Pine,Diesel"
1028,OG Kush,Hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Earthy,Pine,Woody","OG Kush makes up the genetic backbone of West Coast cannabis varieties, but in spite of its ubiquity, its genetic origins remain a mystery. Popular myth maintains that Chemdawg and Hindu Kush parented OG Kush, passing on the distinct “kush” bud structure we see in many strains today. However, we can’t be sure because OG Kush first came from bag seed in the early 90s. The earliest propagators (now known as Imperial Genetics) are said to have brought the seeds out of Florida to Colorado and southern California, where it now flourishes. There are many different phenotypes of OG Kush, some of which include Tahoe OG, SFV OG, and Alpha OG. OG Kush is cherished for its ability to crush stress under the weight of its heavy euphoria. It carries an earthy pine and sour lemon scent with woody undertones, an aroma that has become the signature of OG Kush varieties and descendants. With OG Kush, patients most commonly cite improvements in migraines, ADD/ADHD, and stress disorders. ","Hybrid,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Earthy,Pine,Woody"
1029,OG La Affie,Indica,4.8,"Relaxed,Happy,Uplifted,Focused,Creative","Earthy,Pepper,Woody","OG LA Affie from DNA Genetics is a pure indica variety best known for parenting the famed LA Confidential. This indica powerhouse is chosen by many patients treating pain and insomnia because, unlike many other pure indica strains, OG LA Affie provides swift relief without inevitable sedation. Instead, it offers an unusually energetic and psychedelic buzz that makes you wonder how a sativa never made it into the genetic mix. The aroma is a subtle blend of earthy and sweet, similar to that of its LA Confidential offspring.","Indica,Relaxed,Happy,Uplifted,Focused,Creative,Earthy,Pepper,Woody"
1030,OG Los Angeles Kush,Indica,4.7,"Sleepy,Relaxed,Hungry,Euphoric,Focused","Earthy,Citrus",The self-titled Original Los Angeles Kush by Los Angeles Kush is an award winning indica with a THC percentage pushing 27%.The strain’s dense lime green nugs are sticky with resin and emit a deep aroma of pine and fuel. OG LAK brings amplified indica effects that sedate and weigh on the body. This restful mental and physical state makes OG LAK an excellent night cap or good medicine for consumers suffering from insomnia and chronic pain. Utilize the Original Los Angeles Kush in the evening to get the best results from this potent indica strain.     ,"Indica,Sleepy,Relaxed,Hungry,Euphoric,Focused,Earthy,Citrus"
1031,OG Poison,Hybrid,4.3,"Relaxed,Sleepy,Euphoric,Hungry,Focused","Earthy,Diesel,Sweet","OG Poison (also known as Poison OG) may put you to sleep after the first taste. Potent and fast-acting, this hybrid was designed to knock out even the worst cases of insomnia. Not a good strain if you’d like to get things done, OG Poison is strictly for nighttime use. Featuring a pungent and piney aroma, this strain is long-lasting and provides a very soothing, heavy body sensation for users. ","Hybrid,Relaxed,Sleepy,Euphoric,Hungry,Focused,Earthy,Diesel,Sweet"
1032,OGre,Hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Aroused","Skunk,Pungent,Earthy","There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma.","Hybrid,Relaxed,Happy,Euphoric,Uplifted,Aroused,Skunk,Pungent,Earthy"
1033,OGre Berry,Indica,4.3,"Happy,Relaxed,Focused,Sleepy,Giggly","Blueberry,Berry,Earthy","Ogre Berry is an indica-dominant strain cultivated in the highlands of Northern Mendocino County by HappyDay Farms. Combining Ogre with Island Strawberry Afghani Indica, Ogre Berry regularly tests between 24-28% THC and offers potent relief to aches and pains. Heavy euphoria blankets the mind with sensations of calm relaxation, and while these effects come with great medicinal potential, you may want to set this strain aside when faced with a busy day or cognitive tasks. Sweet citrus flavors meet a fuel-like skunk aroma, creating a sweet and sour fusion to be enjoyed by terpene enthusiasts.","Indica,Happy,Relaxed,Focused,Sleepy,Giggly,Blueberry,Berry,Earthy"
1034,OG Ringo,Hybrid,4.5,"Happy,Relaxed,Uplifted,Hungry,Euphoric","Lemon,Sweet,Pine","OG Ringo is an indica-dominant variety of OG Kush bred by SoHum Seeds. The potent hybrid is named for the late Lawrence Ringo, a famed leader in CBD breeding and cannabis activist. OG Ringo is a high-THC strain with large, chunky blossoms that give off an earthy and floral musk that mixes with a smooth, sweet piney note to create long-lasting euphoric effects. With a lemon aftertaste, OG Ringo offers pain and stress relieving properties.","Hybrid,Happy,Relaxed,Uplifted,Hungry,Euphoric,Lemon,Sweet,Pine"
1035,OG Shark,Hybrid,4.5,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Earthy,Chemical,Woody","OG Shark, a rare strain found primarily in Canada, sets high standards with its impressive THC content and pungent, earthy aroma. Patients most commonly turn to this heavy-hitter for nausea, pain, and sleep disorders, as well as many other symptoms.","Hybrid,Relaxed,Uplifted,Happy,Euphoric,Tingly,Earthy,Chemical,Woody"
1036,OG Skunk,Hybrid,4.8,"Happy,Euphoric,Creative,Relaxed,Uplifted","Skunk,Woody,Pine","A cross between OG #18 and Skunk #1, OG Skunk is a 60% sativa-dominant hybrid from DNA Genetics. Flavors of sour fuel and skunky citrus are sure to please fans of both parent strains, while the high offers a nice uplifting head effect along with a relaxing body buzz. Its THC levels have been measured between 16% and 22%.","Hybrid,Happy,Euphoric,Creative,Relaxed,Uplifted,Skunk,Woody,Pine"
1037,OG Strawberry,Hybrid,4.4,"Happy,Creative,Uplifted,Euphoric,Relaxed","Strawberry,Sweet,Earthy","OG Strawberry, grown on the southwest ridgeline of Mendocino County by HappyDays Farms, is an indica-dominant hybrid strain that delivers crushing effects alongside a sour fuel aroma. With a THC content that can stretch to 29%, OG Strawberry is a force to be reckoned with. This hybrid combines parent strains OG Kush and Island Strawberry Afghani Indica, a union of potency that will impress even the seasoned veteran.","Hybrid,Happy,Creative,Uplifted,Euphoric,Relaxed,Strawberry,Sweet,Earthy"
1038,OG Wreck,Hybrid,4.3,"Focused,Euphoric,Uplifted,Happy,Tingly","Sweet,Earthy,Pungent","OG Wreck, a hybrid cross between the famed OG Kush and Trainwreck, is a potent sativa-dominant strain with powerful cerebral effects and medicinal properties. Its chunky, conic buds characteristic of its OG genes are blanketed with frosty crystal trichomes, accenting the flower with a white--almost blue--hue. OG Wreck’s jolting sativa onset is preceded by a sour, skunky aroma and fruity flavor with spicy pepper undertones. This high-THC strain ushers in a variety of therapeutic effects suitable for patients treating pain, nausea, appetite loss, fatigue, depression, headaches, and stress.","Hybrid,Focused,Euphoric,Uplifted,Happy,Tingly,Sweet,Earthy,Pungent"
1039,Old Lyme Connecticut OG,Hybrid,4.5,"Energetic,Happy,Talkative,Uplifted,Euphoric","Tree,Fruit,Pungent,Pine",Strain description currently unavailable,"Hybrid,Energetic,Happy,Talkative,Uplifted,Euphoric,Tree,Fruit,Pungent,Pine"
1040,Old Mother Sativa,Sativa,4,Effects currently unknown,Flavor profile currently unavailable,"Old Mother Sativa is an enormous plant with uplifting, euphoric effects. This strain is believed to have originated in Southeast Asia, but gained popularity in Australia during the 1960’s and 70’s. With bushes that can reach upwards of 15 feet tall, this flower grows well in a variety of climates. Known for its resistance to drought and its long growing season, Old Mother Sativa yields a wealth of frosty buds, given the time to flourish. Expect happy, uplifting effects that ify stress and imbue the consumer with a giddy sense of wellbeing.  ","Sativa,Effects currently unknown,Flavor profile currently unavailable"
1041,Oldtimers Haze,Sativa,5,"Tingly,Uplifted,Energetic","Citrus,Pine","Oldtimer’s Haze is a semi-stable old school Haze varietal from the 60s and 70s. This strain survived for decades with the help of Oldtimer, a British cannabis breeder, and has since gone on to influence famous buds like Purple Haze and Green Haze. While the genetic background of this strain is ambiguous, it remains one of Ace Seeds’ most sought after cultivars. Oldtimer’s Haze offers stimulating effects and aromas that speak to the heady, spicy buds of yesteryear.  ","Sativa,Tingly,Uplifted,Energetic,Citrus,Pine"
1042,Omega,Hybrid,4.8,"Euphoric,Happy,Tingly,Relaxed,Uplifted","Menthol,Spicy/Herbal,Sweet","Bred over generations from White Widow, Kush, NYC Diesel, and Permafrost genetics, Omega by Rogue Buds is a hybrid strain that lets the mind soar while relaxing the body. This high-THC strain carries a pungent and complex aroma comprised of earthy pine, sweet citrus, and spicy menthol notes. Omega eases muscle tension and frees the headspace of excessive stress, making this strain a perfect partner for winding down after a long day.","Hybrid,Euphoric,Happy,Tingly,Relaxed,Uplifted,Menthol,Spicy/Herbal,Sweet"
1043,Opal OG Kush,Indica,4.5,"Relaxed,Euphoric,Aroused,Sleepy,Tingly","Strawberry,Earthy,Lavender","Opal OG Kush is an 80% indica strain grown by Nine Point Growth Industries in Washington state. With genetics coming from a blend of Frankenstein and Lemon OG Kush, Opal OG Kush buds grow into a colorful patchwork of red, green, and purple hues. Heavy, cerebrally concentrated euphoria melts down throughout the body, evening out to calming relaxation and dreamy bliss. Opal OG Kush is grown indoors in a soil medium, and is available in Washington’s recreational cannabis stores.","Indica,Relaxed,Euphoric,Aroused,Sleepy,Tingly,Strawberry,Earthy,Lavender"
1044,Opium,Hybrid,4.8,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Earthy,Citrus,Flowery","Opium by Paradise Seeds is an even 50/50 hybrid that offers the best of both indica and sativa strains. This strain won 2nd place at the 2006 High Times Cannabis Cup and has grown in popularity since. Known to flourish indoors, this plant grows fat, resinous colas when hydroponics are employed. Outside, this strain is a different beast, growing more fickle in guerrilla cropping conditions. ","Hybrid,Happy,Relaxed,Euphoric,Uplifted,Giggly,Earthy,Citrus,Flowery"
1045,Or,Hybrid,4.4,"Hungry,Happy,Relaxed,Euphoric,Sleepy","Earthy,Flowery,Woody","Or, comprised of 70 percent indica genetics, is an Israeli strain from the medical cannabis supplier Tikun Olam. Primarily designed for patients with sleep disorders, Or also remedies an array of other symptoms including nausea, pain, inflammation, indigestion, and appetite loss.","Hybrid,Hungry,Happy,Relaxed,Euphoric,Sleepy,Earthy,Flowery,Woody"
1046,Orange Afghani,Indica,4.5,"Hungry,Relaxed,Sleepy,Creative,Uplifted","Orange,Citrus,Earthy","Orange Afghani by Bedford Grow is a heavy indica with bright terpenes. Crossing an Orange Ghost mother and a Lashkar Gah/White ‘91 father, Orange Afghani inherits tart citrus terpenes overlain by a sweet, floral undertone native to many traditional Kush cuts. This strain has a happy, euphoric buzz that couples well with its functional relaxation. Orange Afghani is also known to produce high levels of the terpene terpinolene.   ","Indica,Hungry,Relaxed,Sleepy,Creative,Uplifted,Orange,Citrus,Earthy"
1047,Orange Bud,Hybrid,4.3,"Happy,Euphoric,Energetic,Relaxed,Uplifted","Orange,Citrus,Pungent","First bred in 1980s by Dutch Passion, Orange Bud cannabis strain is a combination of two members of the 100% Skunk family. It is one of the more potent and most simplistic strains to cultivate, with buds that are dense with a large amount THC crystals. With bright orange hairs coating the surface, this strain has scents of orange and nectarines with a flowering time of 8-9 weeks. Orange Bud's THC content has been measured up to 16.5% and grows well both indoors and out. ","Hybrid,Happy,Euphoric,Energetic,Relaxed,Uplifted,Orange,Citrus,Pungent"
1048,Orange Cookies,Hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Creative","Citrus,Orange,Sweet","Orange Cookies bred by Franchise Genetics is a hybrid that combines Orange Juice with the renowned Girl Scout Cookies. A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed. ","Hybrid,Relaxed,Happy,Uplifted,Euphoric,Creative,Citrus,Orange,Sweet"
1049,Orange Creamsicle,Hybrid,4.8,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Orange,Sweet","Taking the best attributes of parent strains Orange Crush and Juicy Fruit, Orange Creamsicle’s tall structure, heavy colas, and pungent flavor will be sure to keep you coming back for more. This hybrid strain, as the name suggests, has a strong citrus flavor and is used to treat nausea and anxiety. Growers will be happy with this heavy producer that flowers in 9 weeks with beautiful orange-white coloring and a thick coating of resin.","Hybrid,Relaxed,Happy,Euphoric,Uplifted,Focused,Citrus,Orange,Sweet"
1050,Orange Crush,Hybrid,4.2,"Uplifted,Happy,Relaxed,Energetic,Creative","Citrus,Orange,Sweet","Orange Crush is a sativa-dominant cannabis strain with a super sweet tangy flavor and aroma. Bred by BC Growers Association with California Orange and Blueberry for parents, Orange Crush produces a powerful cerebral sensation that can last up to two hours. It has small, dense buds that contain a large amount of trichomes and many orange pistils. Orange Crush has a flowering time of 7-9 weeks and a THC content of up to 15%.","Hybrid,Uplifted,Happy,Relaxed,Energetic,Creative,Citrus,Orange,Sweet"
1051,Orange Crush,Hybrid,4.2,"Uplifted,Happy,Relaxed,Energetic,Creative","Citrus,Orange,Sweet","Orange Crush is a sativa-dominant cannabis strain with a super sweet tangy flavor and aroma. Bred by BC Growers Association with California Orange and Blueberry for parents, Orange Crush produces a powerful cerebral sensation that can last up to two hours. It has small, dense buds that contain a large amount of trichomes and many orange pistils. Orange Crush has a flowering time of 7-9 weeks and a THC content of up to 15%.","Hybrid,Uplifted,Happy,Relaxed,Energetic,Creative,Citrus,Orange,Sweet"
1052,Orange Diesel,Hybrid,4.4,"Relaxed,Focused,Talkative,Energetic,Euphoric","Citrus,Orange,Diesel","Orange Diesel, or Agent D, is a sativa-dominant hybrid that combines Sour Diesel and TGA Seeds’ Agent Orange. This lineage is evident in Orange Diesel’s sweet citrus flavor which is accented by a subtle diesel aftertaste. Sativa-lovers will appreciate the sharp sense of energy and focus that Orange Diesel delivers, and these effects may be helpful for patients treating ADD/ADHD, fatigue, and stress.","Hybrid,Relaxed,Focused,Talkative,Energetic,Euphoric,Citrus,Orange,Diesel"
1053,Orange Dream,Hybrid,4.1,"Happy,Euphoric,Creative,Uplifted,Relaxed","Tropical,Orange,Citrus","Orange Dream is a sativa-dominant hybrid that crosses Orange Crush with Blue Dream, each of which bring a unique dimension to this strain. Inviting aromas of citrus and vanilla combine to create a distinct flavor profile that can only be compared to orange creamsicles. Mellow euphoria lightly settles in, easing you into a relaxed but alert state of mind that lets creativity roam free. Depression and stress sink away while your mood is lifted to new heights, and its lightweight effects make Orange Dream the perfect choice for any time of the day.","Hybrid,Happy,Euphoric,Creative,Uplifted,Relaxed,Tropical,Orange,Citrus"
1054,Orange Durban,Sativa,4.8,"Energetic,Talkative,Uplifted,Focused,Creative","Orange,Sweet,Citrus","Orange Durban is a citrus-heavy version of the African landrace strain Durban Poison. Parent strains Orange Juice Bud and Durban Poison come together to offer consumers notes of sweet orange intermixed with pine and earthy undertones. This strain’s bright, fruity flavors are underpinned by a stimulating physical energy that encourages activity. The mental state is generally uplifted, with effects that cater to creative pursuits like drawing and dancing. Enjoy Orange Durban during the day to capitalize on the immense burst of energy native to this plant’s genetics.    ","Sativa,Energetic,Talkative,Uplifted,Focused,Creative,Orange,Sweet,Citrus"
1055,Orange Haze,Hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Energetic","Orange,Sweet,Citrus","The sativa-dominant hybrid Orange Haze by Green Devil Genetics combines a flavorful Orange Bud with the classic Haze. From Orange Bud, it inherits a sweet citrus flavor while Haze provides this hybrid with all of our favorite sativa effects: energy, focus, euphoria, and creativity. Orange Haze’s dense, sticky buds are threaded with fiery copper hairs, giving this strain an unmistakable appearance akin to its Orange Bud parent. Green Devil Genetics recommends a 64-day flowering time indoors, or a mid-October harvest for outdoor gardens.","Hybrid,Happy,Uplifted,Euphoric,Relaxed,Energetic,Orange,Sweet,Citrus"
1056,Orange Juice,Hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Citrus,Orange,Sweet","Orange Juice, bred by Gage Green Genetics, mixes one of their staple strains Joseph (Underdog OG bag seed) with a cross of California Orange and OG Kush. An indica-driven hybrid, Orange Juice erupts with a blast of orange and lemon notes that combine with diesel undertones to create an inviting aroma and a mouthful of sweet earthy citrus. The effects of Orange Juice are relatively balanced, producing a relaxed body with a happy and uplifted head buzz.","Hybrid,Relaxed,Euphoric,Uplifted,Happy,Creative,Citrus,Orange,Sweet"
1057,Orange Kush,Indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Orange,Citrus,Sweet","Orange Kush was bred by Green Devil Genetics and is the child of Orange Bud and OG Kush. It eases the body into relaxation while lifting moods with a sweet and tangy citrus flavor. This strain is resistant to most pests and mold and has long, dense buds with many orange hairs and trichome crystals.","Indica,Relaxed,Happy,Euphoric,Sleepy,Hungry,Orange,Citrus,Sweet"
1058,Orange Romulan,Indica,4,"Euphoric,Relaxed,Tingly,Giggly,Happy","Citrus,Orange,Lime","Orange Romulan is a citrus-forward indica with potency to spare. This strain is the supposed cross of Orange OG and Romulan and has been known to push 20% THC regularly. Also known by its earthy, orange peel undertone and massive trichome production, Orange Romulan offers sedative body effects coupled with a pleasant touch of euphoria. Orange Romulan’s terpene profile is second only to its ability to abate muscle spasms and minor physical pain.   ","Indica,Euphoric,Relaxed,Tingly,Giggly,Happy,Citrus,Orange,Lime"
1059,Orange Skunk,Strain type currently unknown,0,"Happy,Relaxed,Uplifted,Hungry,Tingly","Citrus,Orange,Earthy","Orange Skunk is a clear-headed hybrid cross between Californian Orange and Skunk. With a smell that is as sweet as it is sour, Orange Skunk delivers strong physical sensations that creep into a steady cerebral invigoration. Its medical uses are diverse, but patients treating stress, anxiety, inflammation and headaches may benefit the most from this California hybrid. Novice growers delight in the simplicity of raising Orange Skunk plants, which flower in 8 to 10 weeks in indoor gardens.","Strain type currently unknown,Happy,Relaxed,Uplifted,Hungry,Tingly,Citrus,Orange,Earthy"
1060,Orange Turbo,Hybrid,4.3,"Happy,Creative,Relaxed,Sleepy,Hungry","Citrus,Orange,Sweet","Orange Turbo, bred by MTG Seeds, is a flavorful hybrid strain that crosses Orange Creamsicle with Turbo Diesel. The aroma is as sweet and citrusy as the name suggests, with a sharp sour aroma that cuts through on the exhale. Despite the minimal effort this hybrid demands of her growers, Orange Turbo rewards you with large fragrant buds following a nine week flowering cycle.","Hybrid,Happy,Creative,Relaxed,Sleepy,Hungry,Citrus,Orange,Sweet"
1061,Orange Velvet,Hybrid,4.3,"Uplifted,Relaxed,Happy,Euphoric,Focused","Orange,Citrus,Sweet","This hard to come by strain known as Orange Velvet, tastes and smells remarkably like Orange Dreamsicles; the orange-y, creamy, frozen desert on a stick. The strain was likely created somewhere in the Pacific Northwest using Skunk genetics. The effects are not super powerful with the OV, but the taste and aroma more than make up for it. The high gives just the right amount of euphoric lift, while maintaining an even focus and clarity for a duration of 2 to 3 hours. Medicinally, this strain is good for treating light pain. Orange Velvet has been discontinued for the most part, but it does pop up from time to time in some dispensaries; so if you see it out there in the world, buy large!  ","Hybrid,Uplifted,Relaxed,Happy,Euphoric,Focused,Orange,Citrus,Sweet"
1062,Orange Wreck,Sativa,3,"Uplifted,Creative,Energetic,Euphoric,Focused","Orange,Citrus,Pine","Orange Wreck is the original homegrown cross of Trainwreck and a special (if not mysterious) old school Allagash strain. Exhibiting notes of pungent pine, fermented oranges, and funk, Orange Wreck offers consumers a challenging palate atop stimulating effects. This strain settles behind the eyes and in the body, igniting appetite and offering moderate pain relief. ","Sativa,Uplifted,Creative,Energetic,Euphoric,Focused,Orange,Citrus,Pine"
1063,Oregon Diesel,Indica,4.5,"Relaxed,Happy,Sleepy,Tingly,Euphoric","Diesel,Earthy,Pine",Oregon Diesel is an indica-dominant hybrid that combines NYC Diesel and Blackberry genetics in a blend bred by Homegrown Natural Wonders specifically for the Pacific Northwest climate. This strain was popularized by Oregrown as they hunted for quality genetics. Oregon Diesel is recommended for nighttime pain relief and its relaxing yet clear-headed effects will calm stress and help you avoid sleepless nights.,"Indica,Relaxed,Happy,Sleepy,Tingly,Euphoric,Diesel,Earthy,Pine"
1064,Oregon Pineapple,Hybrid,4.2,"Happy,Giggly,Uplifted,Relaxed,Creative","Pineapple,Sweet,Cheese",Strain description currently unavailable,"Hybrid,Happy,Giggly,Uplifted,Relaxed,Creative,Pineapple,Sweet,Cheese"
1065,Oregon Pinot Noir,Sativa,4.6,"Relaxed,Euphoric,Sleepy,Focused,Tingly","Grape,Sweet,Diesel","This Hawaiian Purple Kush and Pitbull cross was bred among the grapes of a respected Pinot Noir vineyard in Oregon. Taking its name from the breeding location and its deep purple buds, this versatile plant gives off the taste of sweet grapes with a spicy hint of Haze. Though a 80/20 sativa-dominant strain, Oregon Pinot Noir gives the effects of a couch-locking indica, providing a noticeable body high best served for nighttime consumption.","Sativa,Relaxed,Euphoric,Sleepy,Focused,Tingly,Grape,Sweet,Diesel"
1066,Organic Diesel,Hybrid,4.5,"Uplifted,Happy,Talkative,Energetic,Focused","Diesel,Pungent,Tobacco",Strain description currently unavailable,"Hybrid,Uplifted,Happy,Talkative,Energetic,Focused,Diesel,Pungent,Tobacco"
